review,status,rejected,reviewers,days_active,year,comments
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,4,2,2021,32
PRE REVIEW,closed,0,0,0,2021,13
PRE REVIEW,closed,0,3,2,2021,26
0,closed,0,0,0,2021,1
PRE REVIEW,closed,1,0,4,2021,15
PRE REVIEW,closed,1,0,0,2021,8
PRE REVIEW,closed,0,4,6,2021,31
PRE REVIEW,closed,0,2,11,2021,26
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
PRE REVIEW,closed,1,0,5,2021,16
PRE REVIEW,closed,0,3,9,2021,37
0,closed,0,0,0,2021,1
PRE REVIEW,closed,1,0,3,2021,13
PRE REVIEW,closed,1,0,4,2021,18
0,closed,0,0,0,2021,2
REVIEW,closed,0,3,15,2021,49
PRE REVIEW,closed,0,3,1,2021,37
PRE REVIEW,closed,0,3,15,2021,23
0,closed,0,0,0,2021,6
0,closed,0,0,0,2021,2
0,closed,0,0,0,2021,2
PRE REVIEW,closed,0,3,2,2021,24
0,closed,0,0,0,2021,1
PRE REVIEW,closed,1,0,3,2021,11
PRE REVIEW,closed,1,0,10,2021,14
PRE REVIEW,closed,0,2,6,2021,38
PRE REVIEW,closed,0,3,6,2021,19
PRE REVIEW,closed,1,0,5,2021,11
PRE REVIEW,closed,1,0,5,2021,19
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,0
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,1,21,2021,18
PRE REVIEW,closed,0,4,8,2021,34
PRE REVIEW,closed,1,0,0,2021,8
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
PRE REVIEW,closed,1,0,8,2021,18
PRE REVIEW,closed,0,2,13,2021,24
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,3,4,2021,47
REVIEW,closed,0,3,37,2021,88
PRE REVIEW,closed,1,0,1,2021,14
PRE REVIEW,closed,0,3,11,2021,29
PRE REVIEW,closed,1,0,7,2021,8
PRE REVIEW,closed,0,3,8,2021,46
PRE REVIEW,closed,1,0,8,2021,11
PRE REVIEW,closed,0,2,13,2021,18
PRE REVIEW,closed,0,2,17,2021,22
PRE REVIEW,closed,1,0,9,2021,13
PRE REVIEW,closed,0,1,0,2021,14
REVIEW,closed,0,3,34,2021,61
PRE REVIEW,closed,0,3,13,2021,31
PRE REVIEW,closed,1,0,11,2021,10
PRE REVIEW,closed,0,3,17,2021,27
PRE REVIEW,closed,1,0,17,2021,19
REVIEW,closed,0,3,30,2021,50
PRE REVIEW,closed,1,0,13,2021,9
PRE REVIEW,closed,1,0,13,2021,11
PRE REVIEW,closed,0,4,3,2021,30
PRE REVIEW,closed,0,3,24,2021,47
PRE REVIEW,closed,0,2,16,2021,21
PRE REVIEW,closed,1,0,4,2021,11
PRE REVIEW,closed,0,3,25,2021,36
PRE REVIEW,closed,1,0,1,2021,9
PRE REVIEW,closed,0,1,27,2021,21
PRE REVIEW,closed,0,3,4,2021,30
PRE REVIEW,closed,0,0,21,2021,18
PRE REVIEW,closed,0,3,5,2021,43
REVIEW,closed,0,3,43,2021,52
REVIEW,closed,0,3,43,2021,43
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,3,10,2021,48
REVIEW,closed,0,3,42,2021,39
0,closed,0,0,0,2021,1
REVIEW,closed,0,3,46,2021,77
PRE REVIEW,closed,0,2,4,2021,20
PRE REVIEW,closed,0,2,14,2021,45
PRE REVIEW,closed,0,3,16,2021,31
REVIEW,closed,0,3,22,2021,52
PRE REVIEW,closed,0,1,25,2021,26
PRE REVIEW,closed,0,2,15,2021,50
PRE REVIEW,closed,0,3,7,2021,49
PRE REVIEW,closed,1,0,9,2021,14
PRE REVIEW,closed,0,3,3,2021,27
REVIEW,closed,0,3,35,2021,60
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,4,5,2021,65
PRE REVIEW,closed,1,0,0,2021,8
PRE REVIEW,closed,1,2,9,2021,33
PRE REVIEW,closed,0,2,17,2021,36
PRE REVIEW,closed,1,0,0,2021,9
REVIEW,closed,0,4,37,2021,91
PRE REVIEW,closed,1,0,13,2021,11
PRE REVIEW,closed,0,2,19,2021,60
PRE REVIEW,closed,0,3,5,2021,36
PRE REVIEW,closed,0,3,11,2021,32
REVIEW,closed,0,3,14,2021,72
REVIEW,closed,0,3,32,2021,70
PRE REVIEW,closed,1,0,4,2021,14
PRE REVIEW,closed,0,3,26,2021,31
PRE REVIEW,closed,0,3,5,2021,22
PRE REVIEW,closed,1,0,6,2021,16
PRE REVIEW,closed,0,2,33,2021,30
REVIEW,closed,0,3,58,2021,65
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,1
REVIEW,closed,0,3,52,2021,82
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,1,28,2021,33
PRE REVIEW,closed,1,0,8,2021,15
REVIEW,closed,0,3,44,2021,73
0,closed,0,0,0,2021,1
REVIEW,closed,0,3,39,2021,66
REVIEW,closed,0,3,40,2021,65
0,closed,0,0,0,2021,1
REVIEW,closed,0,4,20,2021,57
PRE REVIEW,closed,0,3,4,2021,27
PRE REVIEW,closed,0,4,38,2021,54
PRE REVIEW,closed,0,3,8,2021,29
REVIEW,closed,0,3,45,2021,56
0,closed,0,0,0,2021,1
0,closed,0,0,0,2021,3
REVIEW,closed,0,3,51,2021,42
REVIEW,closed,1,3,41,2021,18
PRE REVIEW,closed,0,2,13,2021,28
PRE REVIEW,closed,1,0,0,2021,7
PRE REVIEW,closed,0,4,11,2021,46
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,3,42,2021,38
0,closed,0,0,0,2021,1
PRE REVIEW,closed,0,3,13,2021,27
PRE REVIEW,closed,0,3,61,2021,39
PRE REVIEW,closed,1,1,11,2021,15
PRE REVIEW,closed,0,3,30,2021,51
PRE REVIEW,closed,1,0,16,2021,13
PRE REVIEW,closed,0,1,38,2021,29
PRE REVIEW,closed,0,2,7,2021,24
PRE REVIEW,closed,1,0,4,2021,17
PRE REVIEW,closed,1,0,4,2021,11
0,closed,0,0,0,2021,4
PRE REVIEW,closed,0,3,3,2021,23
REVIEW,closed,0,3,15,2021,48
0,closed,0,0,0,2021,6
0,closed,0,0,0,2021,6
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,5
PRE REVIEW,closed,0,3,11,2021,30
PRE REVIEW,closed,1,0,11,2021,22
PRE REVIEW,closed,0,3,35,2021,34
0,closed,0,0,0,2021,5
PRE REVIEW,closed,0,3,1,2021,56
PRE REVIEW,closed,1,0,6,2021,10
PRE REVIEW,closed,0,3,14,2021,38
PRE REVIEW,closed,0,1,55,2021,22
PRE REVIEW,closed,0,3,45,2021,44
REVIEW,closed,0,3,74,2021,41
REVIEW,closed,0,3,21,2021,74
PRE REVIEW,closed,0,3,10,2021,36
0,closed,0,0,0,2021,5
PRE REVIEW,closed,0,2,12,2021,31
PRE REVIEW,closed,1,0,23,2021,13
PRE REVIEW,closed,0,3,12,2021,35
PRE REVIEW,closed,0,3,12,2021,36
PRE REVIEW,closed,0,3,25,2021,39
0,closed,0,0,0,2021,5
REVIEW,closed,0,3,78,2021,69
REVIEW,closed,0,3,42,2021,58
REVIEW,closed,0,3,41,2021,54
REVIEW,closed,0,3,71,2021,52
0,closed,0,0,0,2021,5
REVIEW,closed,0,4,65,2021,90
REVIEW,closed,0,3,80,2021,54
REVIEW,closed,0,4,73,2021,67
REVIEW,closed,0,3,31,2021,41
PRE REVIEW,closed,0,3,4,2021,35
PRE REVIEW,closed,0,3,4,2021,26
PRE REVIEW,closed,0,1,66,2021,33
PRE REVIEW,closed,0,2,24,2021,32
PRE REVIEW,closed,1,0,12,2021,13
PRE REVIEW,closed,0,3,23,2021,31
PRE REVIEW,closed,1,0,0,2021,8
PRE REVIEW,closed,0,3,25,2021,32
REVIEW,closed,0,3,39,2021,68
REVIEW,closed,0,3,49,2021,62
REVIEW,closed,0,3,35,2021,57
REVIEW,closed,0,3,77,2021,48
REVIEW,closed,0,4,59,2021,58
0,closed,0,0,0,2021,4
REVIEW,closed,0,4,68,2021,85
PRE REVIEW,closed,1,0,14,2021,32
PRE REVIEW,closed,0,2,41,2021,18
PRE REVIEW,closed,1,0,13,2021,20
0,closed,0,0,0,2021,4
PRE REVIEW,closed,0,3,13,2021,32
PRE REVIEW,closed,0,3,2,2021,37
PRE REVIEW,closed,1,0,5,2021,26
PRE REVIEW,closed,0,3,24,2021,25
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,4
PRE REVIEW,closed,0,1,44,2021,66
PRE REVIEW,closed,0,0,0,2021,13
PRE REVIEW,closed,1,0,2,2021,11
PRE REVIEW,closed,0,3,25,2021,39
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,4
REVIEW,closed,0,3,83,2021,41
PRE REVIEW,closed,1,0,20,2021,12
PRE REVIEW,closed,1,0,4,2021,10
REVIEW,closed,0,3,39,2021,66
REVIEW,closed,0,3,60,2021,38
PRE REVIEW,closed,0,3,37,2021,24
PRE REVIEW,closed,0,3,6,2021,41
PRE REVIEW,closed,0,3,13,2021,25
PRE REVIEW,closed,0,3,7,2021,33
PRE REVIEW,closed,1,0,7,2021,16
PRE REVIEW,closed,1,0,7,2021,10
PRE REVIEW,closed,0,3,21,2021,27
PRE REVIEW,closed,0,2,30,2021,34
REVIEW,closed,0,3,67,2021,50
REVIEW,closed,0,3,29,2021,50
0,closed,0,0,0,2021,4
REVIEW,closed,0,3,78,2021,83
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,4
0,closed,0,0,0,2021,5
0,closed,0,0,0,2021,6
REVIEW,closed,0,3,80,2021,81
PRE REVIEW,closed,0,4,37,2021,43
PRE REVIEW,closed,0,4,12,2021,28
PRE REVIEW,closed,0,3,13,2021,26
0,closed,0,0,0,2021,6
REVIEW,closed,0,3,61,2021,67
PRE REVIEW,closed,0,3,6,2021,27
PRE REVIEW,closed,1,1,10,2021,25
0,closed,0,0,3,2021,5
REVIEW,closed,0,3,81,2021,38
REVIEW,closed,0,3,63,2021,56
